,site,date,time,site_lat,site_lon,chime_diatoms_ug_per_l,chime_cyanobacteria_ug_per_l,chime_others_ug_per_l,lstm_lswt_c,s2_chl_ug_per_l,s2_tur_mg_per_l,s2_cdom_1_per_m,s3_chl_ug_per_l,s3_tur_mg_per_l,s3_cdom_1_per_m,diatoms_ug_per_l,cyanobacterial_ug_per_l,others_ug_per_l
1589,elbe-river_bunthaus_v0.3,2023-04-03,2023-04-03 12:00:00,53.461787,10.064451,36.710764015645374,0.0,13.958546791794769,8.998333333333333,50.66931080744014,23.62447749586857,0.5244279760524151,50.66931080744014,23.62447749586857,0.5244279760524151,36.710764015645374,0.0,13.958546791794769
1590,elbe-river_bunthaus_v0.3,2023-04-04,2023-04-04 12:00:00,53.461787,10.064451,34.88,0.0,14.239999999999997,8.548333333333334,49.12,18.35326139788081,0.5993157879614799,49.12,18.35326139788081,0.5993157879614799,34.88,0.0,14.239999999999997
1591,elbe-river_bunthaus_v0.3,2023-04-05,2023-04-05 12:00:00,53.461787,10.064451,38.87,0.0,16.340000000000003,8.583333333333334,55.21,19.14552347623214,0.6007569603900531,55.21,19.14552347623214,0.6007569603900531,38.87,0.0,16.340000000000003
1592,elbe-river_bunthaus_v0.3,2023-04-06,2023-04-06 12:00:00,53.461787,10.064451,43.52,0.0,17.099999999999994,8.676666666666668,60.62,20.64012831729367,0.5941276886896276,60.62,20.64012831729367,0.5941276886896276,43.52,0.0,17.099999999999994
1593,elbe-river_bunthaus_v0.3,2023-04-07,2023-04-07 12:00:00,53.461787,10.064451,48.98,0.0,19.72000000000001,8.893333333333333,68.7,20.24642752989209,0.5784322463659047,68.7,20.24642752989209,0.5784322463659047,48.98,0.0,19.72000000000001
1594,elbe-river_bunthaus_v0.3,2023-04-08,2023-04-08 12:00:00,53.461787,10.064451,44.77,0.0,17.909999999999997,9.038333333333332,62.68,19.845435987168266,0.5540112067561049,62.68,19.845435987168266,0.5540112067561049,44.77,0.0,17.909999999999997
1595,elbe-river_bunthaus_v0.3,2023-04-09,2023-04-09 12:00:00,53.461787,10.064451,35.36995745779454,0.0,13.091169867592557,8.91,48.461127325387096,20.832118207446293,0.5538019391443285,48.461127325387096,20.832118207446293,0.5538019391443285,35.36995745779454,0.0,13.091169867592557
1596,elbe-river_bunthaus_v0.3,2023-04-10,2023-04-10 12:00:00,53.461787,10.064451,32.27,0.0,12.779999999999994,9.158333333333331,45.05,19.74579566443083,0.5619128892442818,45.05,19.74579566443083,0.5619128892442818,32.27,0.0,12.779999999999994
1597,elbe-river_bunthaus_v0.3,2023-04-12,2023-04-12 12:00:00,53.461787,10.064451,35.11,0.0,15.060000000000002,9.46,50.17,17.32040439389521,0.5886824637292245,50.17,17.32040439389521,0.5886824637292245,35.11,0.0,15.060000000000002
1598,elbe-river_bunthaus_v0.3,2023-04-14,2023-04-14 12:00:00,53.461787,10.064451,38.16,0.0,15.670000000000002,9.895,53.83,17.485661514532907,0.5899769008929654,53.83,17.485661514532907,0.5899769008929654,38.16,0.0,15.670000000000002
1599,elbe-river_bunthaus_v0.3,2023-04-15,2023-04-15 12:00:00,53.461787,10.064451,38.5,0.0,15.799999999999995,10.115,54.3,12.74910080684359,0.6066854643417535,54.3,12.74910080684359,0.6066854643417535,38.5,0.0,15.799999999999995
1600,elbe-river_bunthaus_v0.3,2023-04-16,2023-04-16 12:00:00,53.461787,10.064451,37.40478762899377,0.0,15.04825663392416,10.161666666666669,52.453044262917935,14.489161077087584,0.5856478407335893,52.453044262917935,14.489161077087584,0.5856478407335893,37.40478762899377,0.0,15.04825663392416
